id,level,message,created_at
466,WARN,模型下载源失败 https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf：<urlopen error [WinError 10060] 由于连接方在一段时间后没有正确答复或连接的主机没有反应，连接尝试失败。>,2026-09-08 01:47:57
465,INFO,尝试下载模型：https://huggingface.co/Qwen/Qwen2.5-1.5B-Instruct-GGUF/resolve/main/Qwen2.5-1.5B-Instruct-Q4_K_M.gguf,2026-09-08 01:47:36
464,INFO,AI 引擎路线已切换为：model,2026-09-08 01:47:36
463,INFO,配置已更新：['ai_enabled'],2026-09-08 01:47:33
462,INFO,已删除自定义人格：表情包夸夸宅,2026-09-08 01:46:46
461,INFO,已删除自定义人格：表情包夸夸宅,2026-09-08 01:46:31
460,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 01:41:45
459,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 01:26:45
458,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 01:11:45
457,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 00:56:44
456,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 00:41:44
455,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 00:26:44
454,INFO,已删除自定义人格：元气日常系宅友,2026-09-08 00:13:40
453,INFO,本轮随机选中 UID=5839569478 转发：已转发（normal）：纯转发,2026-09-08 00:13:10
452,INFO,调度器已启动,2026-09-08 00:11:44
451,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 00:11:44
450,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 00:10:12
449,WARN,当前不在工作时间，跳过本轮轮询,2026-09-08 00:02:39
448,INFO,本轮随机选中 UID=7814334771 转发：已转发（normal）：纯转发,2026-09-07 23:55:12
447,INFO,本轮随机选中 UID=5654934057 转发：已转发（normal）：纯转发,2026-09-07 23:47:39
446,INFO,本轮随机选中 UID=1842707505 转发：已转发（normal）：纯转发,2026-09-07 23:38:45
445,INFO,本轮随机选中 UID=3905384115 转发：已转发（normal）：纯转发,2026-09-07 23:31:11
444,INFO,本轮随机选中 UID=6299489712 转发：已转发（normal）：纯转发,2026-09-07 23:22:18
443,INFO,本轮随机选中 UID=5576135998 转发：已转发（normal）：纯转发,2026-09-07 23:14:44
442,INFO,本轮随机选中 UID=2417091607 转发：已转发（normal）：纯转发,2026-09-07 23:05:53
441,INFO,本轮随机选中 UID=5080828464 转发：已转发（normal）：纯转发,2026-09-07 22:58:16
440,INFO,本轮随机选中 UID=5576135998 转发：已转发（normal）：纯转发,2026-09-07 22:49:25
439,INFO,本轮随机选中 UID=2360472482 转发：已转发（normal）：纯转发,2026-09-07 22:41:46
438,INFO,本轮随机选中 UID=5621571415 转发：已转发（normal）：纯转发,2026-09-07 22:32:57
437,INFO,本轮随机选中 UID=3002020805 转发：已转发（normal）：纯转发,2026-09-07 22:25:18
436,INFO,本轮随机选中 UID=3002020805 转发：已转发（normal）：纯转发,2026-09-07 22:16:27
435,INFO,本轮随机选中 UID=2921473410 转发：已转发（normal）：纯转发,2026-09-07 22:08:50
434,INFO,本轮随机选中 UID=5764605043 转发：已转发（normal）：纯转发,2026-09-07 21:59:57
433,INFO,本轮随机选中 UID=7504708803 转发：已转发（normal）：纯转发,2026-09-07 21:52:20
432,INFO,本轮随机选中 UID=3020082811 转发：已转发（normal）：纯转发,2026-09-07 21:43:28
431,INFO,本轮随机选中 UID=2141792331 转发：已转发（normal）：纯转发,2026-09-07 21:35:51
430,INFO,本轮随机选中 UID=5675638543 转发：已转发（normal）：纯转发,2026-09-07 21:27:00
429,INFO,本轮随机选中 UID=3002020805 转发：已转发（normal）：纯转发,2026-09-07 21:19:20
428,INFO,本轮随机选中 UID=6475305895 转发：已转发（normal）：纯转发,2026-09-07 21:10:31
427,INFO,本轮随机选中 UID=7990705660 转发：已转发（normal）：纯转发,2026-09-07 21:02:54
426,INFO,本轮随机选中 UID=5428530579 转发：已转发（normal）：纯转发,2026-09-07 20:54:04
425,INFO,本轮随机选中 UID=6850282182 转发：已转发（normal）：纯转发,2026-09-07 20:46:24
424,INFO,本轮随机选中 UID=6682498811 转发：已转发（normal）：纯转发,2026-09-07 20:37:33
423,INFO,本轮随机选中 UID=4067412545 转发：已转发（normal）：纯转发,2026-09-07 20:29:56
422,INFO,本轮随机选中 UID=3226642213 转发：已转发（normal）：纯转发,2026-09-07 20:21:06
421,INFO,本轮随机选中 UID=2921473410 转发：已转发（normal）：纯转发,2026-09-07 20:13:27
420,INFO,本轮随机选中 UID=5576135998 转发：已转发（normal）：纯转发,2026-09-07 20:04:37
419,INFO,本轮随机选中 UID=6850282182 转发：已转发（normal）：纯转发,2026-09-07 19:57:00
418,INFO,本轮随机选中 UID=7533347976 转发：已转发（normal）：纯转发,2026-09-07 19:48:11
417,INFO,本轮随机选中 UID=3226642213 转发：已转发（normal）：纯转发,2026-09-07 19:40:31
416,INFO,本轮随机选中 UID=6601835349 转发：已转发（normal）：纯转发,2026-09-07 19:31:45
415,INFO,本轮随机选中 UID=7283423031 转发：已转发（normal）：纯转发,2026-09-07 19:15:18
414,INFO,本轮随机选中 UID=3325037114 转发：已转发（normal）：纯转发,2026-09-07 19:07:37
413,INFO,本轮随机选中 UID=5514656753 转发：已转发（normal）：纯转发,2026-09-07 18:58:50
412,INFO,本轮随机选中 UID=5080828464 转发：已转发（normal）：纯转发,2026-09-07 18:51:10
411,INFO,本轮随机选中 UID=5102198557 转发：已转发（normal）：纯转发,2026-09-07 18:42:25
410,INFO,本轮随机选中 UID=2921473410 转发：已转发（normal）：纯转发,2026-09-07 18:34:42
409,INFO,本轮随机选中 UID=6299489712 转发：已转发（normal）：纯转发,2026-09-07 18:25:59
408,INFO,本轮随机选中 UID=1726628765 转发：已转发（normal）：纯转发,2026-09-07 18:18:18
407,INFO,本轮随机选中 UID=5931091136 转发：已转发（normal）：纯转发,2026-09-07 18:09:33
406,INFO,本轮随机选中 UID=4067412545 转发：已转发（normal）：纯转发,2026-09-07 18:01:36
405,INFO,本轮随机选中 UID=5102198557 转发：已转发（normal）：纯转发,2026-09-07 17:53:04
404,INFO,本轮随机选中 UID=2389901855 转发：已转发（normal）：纯转发,2026-09-07 17:45:08
403,INFO,本轮随机选中 UID=7504708803 转发：已转发（normal）：纯转发,2026-09-07 17:36:35
402,INFO,本轮随机选中 UID=1871794463 转发：已转发（normal）：纯转发,2026-09-07 17:28:40
401,INFO,本轮随机选中 UID=7533347976 转发：已转发（normal）：纯转发,2026-09-07 17:20:10
400,INFO,本轮随机选中 UID=7305759370 转发：已转发（normal）：纯转发,2026-09-07 17:12:12
399,INFO,本轮随机选中 UID=6504801191 转发：已转发（normal）：纯转发,2026-09-07 17:03:45
398,INFO,本轮随机选中 UID=6601835349 转发：已转发（normal）：纯转发,2026-09-07 16:55:42
397,INFO,本轮随机选中 UID=7457068634 转发：已转发（normal）：纯转发,2026-09-07 16:47:17
396,INFO,本轮随机选中 UID=6475305895 转发：已转发（normal）：纯转发,2026-09-07 16:42:32
395,INFO,监控刷新完成：87 在线 / 0 异常,2026-09-07 16:42:28
394,INFO,监控刷新完成：87 在线 / 0 异常,2026-09-07 16:42:14
393,INFO,监控刷新完成：86 在线 / 0 异常,2026-09-07 16:40:58
392,INFO,已添加监控 UID=3802725779 昵称=-婉Yue-目标减到99斤,2026-09-07 16:40:47
391,WARN,添加监控失败：该 UID 已在监控列表中,2026-09-07 16:40:25
390,INFO,已添加监控 UID=7815982641 昵称=Yiko湿润兔,2026-09-07 16:39:34
389,INFO,已添加监控 UID=7487087190 昵称=绮玥JUL_,2026-09-07 16:39:23
388,INFO,已添加监控 UID=5289498848 昵称=綿綿電波_EX,2026-09-07 16:39:17
387,INFO,本轮随机选中 UID=2141792331 转发：已转发（normal）：纯转发,2026-09-07 16:39:14
386,INFO,已添加监控 UID=2385462611 昵称=Sanlidistant,2026-09-07 16:39:11
385,INFO,监控刷新完成：82 在线 / 0 异常,2026-09-07 16:38:50
384,WARN,添加监控失败：该 UID 已在监控列表中,2026-09-07 16:37:26
383,INFO,已添加监控 UID=3002020805 昵称=猪突猛蛋,2026-09-07 16:36:45
382,INFO,已添加监控 UID=2672370764 昵称=酒酿促织nya,2026-09-07 16:36:39
381,INFO,已添加监控 UID=5931091136 昵称=前野太太,2026-09-07 16:36:31
380,INFO,已添加监控 UID=7990705660 昵称=花生酱拌面hs,2026-09-07 16:36:06
379,INFO,监控刷新完成：76 在线 / 0 异常,2026-09-07 16:36:02
378,INFO,已添加监控 UID=5601514368 昵称=Yuli暮暮,2026-09-07 16:35:55
377,INFO,已添加监控 UID=7763320155 昵称=山崎怜Rei,2026-09-07 16:35:45
376,WARN,添加监控失败：该 UID 已在监控列表中,2026-09-07 16:35:18
375,INFO,已添加监控 UID=3905384115 昵称=是一只熊仔吗,2026-09-07 16:34:46
374,INFO,本轮随机选中 UID=7486414531 转发：已转发（normal）：纯转发,2026-09-07 16:30:49
373,INFO,本轮随机选中 UID=5654934057 转发：已转发（normal）：纯转发,2026-09-07 16:22:49
372,INFO,本轮随机选中 UID=7533347976 转发：已转发（normal）：纯转发,2026-09-07 16:14:35
371,INFO,调度器已启动,2026-09-07 16:13:18
370,INFO,调度器已停止,2026-09-07 16:13:18
369,INFO,配置已更新：['ai_enabled'],2026-09-07 16:13:15
368,INFO,本轮随机选中 UID=5675638543 转发：已转发（ai）：今天的快乐是兔兔给的，尤其是猫猫那段绝了,2026-09-07 16:06:32
367,INFO,本轮随机选中 UID=3214584813 转发：已转发（ai）：今天的快乐是害羞给的，尤其是超话那段绝了,2026-09-07 15:50:10
366,INFO,本轮随机选中 UID=1853544207 转发：已转发（ai）：别人都在聊二次元，只有我在cos里找不到北🤣,2026-09-07 15:33:38
365,INFO,本轮随机选中 UID=5412476694 转发：已转发（ai）：看完dy我悟了，原来制裁还能这么玩，服了,2026-09-07 15:17:23
364,INFO,本轮随机选中 UID=6655450792 转发：已转发（ai）：关于看看，我只想说：笑死，根本停不下来😂,2026-09-07 15:01:06
363,INFO,本轮随机选中 UID=1982883477 转发：已转发（ai）：看完兔头我悟了，原来双侠还能这么玩，服了,2026-09-07 14:44:49
362,INFO,本轮随机选中 UID=2684770642 转发：已转发（ai）：别人都在聊睡不着，只有我在睡不着里找不到北🤣,2026-09-07 14:28:17
361,INFO,本轮随机选中 UID=1982883477 转发：已转发（ai）：哈哈哈？这波操作我给满分，扣一分怕你骄傲,2026-09-07 14:12:03
360,INFO,本轮随机选中 UID=6504801191 转发：已转发（ai）：一梦？这波操作我给满分，扣一分怕你骄傲,2026-09-07 13:55:48
359,INFO,本轮随机选中 UID=2417091607 转发：已转发（ai）：好看？这波操作我给满分，扣一分怕你骄傲,2026-09-07 13:39:34
358,INFO,本轮随机选中 UID=5586261196 转发：已转发（ai）：关于live，我只想说：笑死，根本停不下来😂,2026-09-07 13:23:20
357,INFO,本轮随机选中 UID=7486414531 转发：已转发（ai）：关于转发，我只想说：笑死，根本停不下来😂,2026-09-07 13:07:05
356,INFO,本轮随机选中 UID=3325037114 转发：已转发（ai）：看完这条动态我悟了，原来这条动态还能这么玩，服了,2026-09-07 12:50:50
355,INFO,本轮随机选中 UID=2686882291 转发：已转发（ai）：看完cos我悟了，原来动漫还能这么玩，服了,2026-09-07 12:34:36
354,INFO,本轮随机选中 UID=1510124537 转发：已转发（ai）：关于korizora，我只想说：笑死，根本停不下来😂,2026-09-07 12:18:18
353,INFO,本轮随机选中 UID=5586261196 转发：已转发（ai）：对象？这波操作我给满分，扣一分怕你骄傲,2026-09-07 12:02:05
352,INFO,本轮随机选中 UID=2417091607 转发：已转发（ai）：今天的快乐是妈妈给的，尤其是妈妈那段绝了,2026-09-07 11:45:48
351,INFO,本轮随机选中 UID=7533347976 转发：已转发（ai）：今天的快乐是一次性给的，尤其是三种那段绝了,2026-09-07 11:29:35
350,INFO,本轮随机选中 UID=1982883477 转发：已转发（ai）：别人都在聊miaomi，只有我在电脑内存里找不到北🤣,2026-09-07 11:13:18
349,INFO,本轮随机选中 UID=6475305895 转发：已转发（ai）：别人都在聊生日快乐，只有我在老婆里找不到北🤣,2026-09-07 10:57:03
